POLYGON ((-179.9999 -89.9999,-179.9999 -0.0,0 0,-0.0 -89.9999,-179.9999 -89.9999))
POLYGON ((10.195306835937497 49.921819531249987,10.195306835937497 50.097600585937485,10.546869140624997 50.097600585937485,10.546869140624997 49.921819531249987,10.195306835937497 49.921819531249987))
POLYGON ((9.843744531249998 50.097600585937485,9.843744531249998 50.27338164062499,10.195306835937497 50.27338164062499,10.195306835937497 50.097600585937485,9.843744531249998 50.097600585937485))
POLYGON ((10.195306835937497 50.097600585937485,10.195306835937497 50.27338164062499,10.546869140624997 50.27338164062499,10.546869140624997 50.097600585937485,10.195306835937497 50.097600585937485))
POLYGON ((10.546869140624997 49.921819531249987,10.546869140624997 50.097600585937485,10.898431445312497 50.097600585937485,10.898431445312497 49.921819531249987,10.546869140624997 49.921819531249987))
POLYGON ((10.898431445312497 49.921819531249987,10.898431445312497 50.097600585937485,11.24999375 50.097600585937485,11.24999375 49.921819531249987,10.898431445312497 49.921819531249987))
POLYGON ((10.546869140624997 50.097600585937485,10.546869140624997 50.27338164062499,10.898431445312497 50.27338164062499,10.898431445312497 50.097600585937485,10.546869140624997 50.097600585937485))
POLYGON ((10.898431445312497 50.097600585937485,10.898431445312497 50.27338164062499,11.24999375 50.27338164062499,11.24999375 50.097600585937485,10.898431445312497 50.097600585937485))
POLYGON ((9.843744531249998 50.27338164062499,9.843744531249998 50.449162695312495,10.195306835937497 50.449162695312495,10.195306835937497 50.27338164062499,9.843744531249998 50.27338164062499))
POLYGON ((10.195306835937497 50.27338164062499,10.195306835937497 50.449162695312495,10.546869140624997 50.449162695312495,10.546869140624997 50.27338164062499,10.195306835937497 50.27338164062499))
POLYGON ((9.843744531249998 50.449162695312495,9.843744531249998 50.62494375,10.195306835937497 50.62494375,10.195306835937497 50.449162695312495,9.843744531249998 50.449162695312495))
POLYGON ((10.195306835937497 50.449162695312495,10.195306835937497 50.62494375,10.546869140624997 50.62494375,10.546869140624997 50.449162695312495,10.195306835937497 50.449162695312495))
POLYGON ((10.546869140624997 50.27338164062499,10.546869140624997 50.62494375,11.24999375 50.62494375,11.24999375 50.27338164062499,10.546869140624997 50.27338164062499))
POLYGON ((11.24999375 44.99995,11.24999375 45.175731054687496,11.601556054687499 45.175731054687496,11.601556054687499 44.99995,11.24999375 44.99995))
POLYGON ((11.601556054687499 44.99995,11.601556054687499 45.175731054687496,11.953118359374997 45.175731054687496,11.953118359374997 44.99995,11.601556054687499 44.99995))
POLYGON ((11.24999375 45.175731054687496,11.24999375 45.351512109375001,11.601556054687499 45.351512109375001,11.601556054687499 45.175731054687496,11.24999375 45.175731054687496))
POLYGON ((11.601556054687499 45.175731054687496,11.601556054687499 45.351512109375001,11.953118359374997 45.351512109375001,11.953118359374997 45.175731054687496,11.601556054687499 45.175731054687496))
